LEFT	NODE	RIGHT	SYNTAX	DATIVE_PREP_TYPE	ARG_ORDER
pemain/nn pengganti/nn piotr/nn trochowski/nn	memberi	mereka/prp harapan/nnu dengan/in menyamakan/vbt kedudukan/nn di/in menit/nn ke-53/nn namun/cc strik	objek ganda	NA	REC_TH
eduardo/nn ,/, yang/sc menggantikan/vbt robin/nn van/nn persie/nn pada/in paruh/nn pertama/cdo ,/,	memberi	walcott/nn umpan/nn yang/sc cerdik/nn dan/cc saat/sc bek/nn spurs/nn lee/nn young-pyo/nn tampak/vbi	objek ganda	NA	REC_TH
karena/nn itu/dt jangan/neg lupa/jj untuk/in menghancurkan/nn isi/nn data/nn ,/, sebelum/sc anda/nn	memberikan	harddisk/nn yang/sc pernah/rb anda/nn pakai/vbt itu/dt ke/in pihak/nnc lain/jj ./.	datif	ke	NA
mengenai/nn bid/nn preemptif/nn dari/in foothills/nn ,/, haskayne/nn mengatakan/vbi ,/, ``/nn bila/nn mereka/prp berpikir/vbi bahwa/sc itu/dt	memberikan	mereka/prp semacam/rb posisi/nnc prioritas/nn ,/, ya/uh ,/, itu/dt adalah/vbt strategy/nn mereka/prp ./.	objek ganda	NA	REC_TH
lembaga/nn pemeringkat/nn efek/nnp internasional/jj fitch/nn ratings/nn ,/, jumat/nn ,/,	memberikan	peringkat/nnc nasional/jj jangka/nn panjang/jj a/nn idn/nn untuk/in pt/nn bank/nn syariah/nn muamalat/nn indonesia/nn tbk/nn muamalat/nn ,/, dengan/i	datif	untuk	NA
merika/nn serikat/nn memberikan/vbt amnesti/nn kepada/in para/dt ilmuwan/nn yang/sc terlibat/vbi di/in unit/nn 731/nn ,/, namun/cc mereka/prp harus/md	memberikan	semua/cdi data/nn eksperimen/nn mereka/prp kepada/in pihak/nnc amerika/nn ./.	datif	kepada	NA
bank/nn danamon/nn telah/md meresmikan/nn layanan/nn office/nn channeling/nn oc/nn di/in sulawesi/nn selatan/nn sulsel/nn ,/, yang/sc akan/md	memberikan	kemudahan/nn bagi/in nasabah/nn akses/nn kepada/in produk/nnc dan/cc layanan/nn syariah/nn melalui/vbt kantor-kantor/jj cabang/nn konvensional/nn ./.	datif	bagi	NA
dakan/nn peradilan/nn tinggi/nn yang/sc menolak/vbt untuk/in melakukan/vbt aju/nn banding/nn dengan/in beberapa/cdi perusahaan/nnc obat/nn ,/, akan/md	memberikan	efek/nnp signifikan/nn pada/in beberapa/cdi level/nn ./.	datif	pada	NA
n militernya/nn untuk/in ikut/vbi ambil/nn bagian/nnc dalam/in 16/cdp operasi/nn penjagaan/nn perdamaian/nn pbb/nn sejak/in badan/nnc dunia/nnp itu/dt	memberikan	kontribusi/cdp pertamanya/nng pada/in operasi-operasi/nn pbb/nn dalam/in tahun/nnc 1990-an/nn ./.	datif	pada	NA
upaya/nn bsa/nn dan/cc kepolisian/nn menekan/nn angka/nnc pembajakan/nn di/in indonesia/nn diyakini/nn akan/md	memberikan	dampak/nnu positif/nn bagi/in bisnis/nn software/nn dalam/in negeri/nnc ./.	datif	bagi	NA
``/nn peralatan/nn tersebut/dt tidak/neg	memberikan	kepastian/nn yang/sc cukup/jj bagi/in atasan-atasan/nn jepang/nn ,/, ''/nn kata/vbt yasuo/nn nakamura/nn ,/, perwakilan/nn dari/in bank/nn industri/n	datif	bagi	NA
un/nn mr./nn roman/nn adalah/vbt seorang/nnc penggila/nn kerja/nnu yang/sc mendetail/nn ,/, mr./nn phillips/nn lebih/rb suka/vbi mendelegasikan/nn ,/,	memberikan	dia/prp waktu/nnc bagi/in minatnya/nn di/in luar/jj pekerjaan/nn ./.	objek ganda	NA	REC_TH
dalam/nn siaran/nn pers/nnc lembaga/nnp yang/sc berbasis/vbi di/in singapura/nn itu/dt ,/, fitch/nn juga/rb	memberikan	peringkat/nnc ekspektasi/nn a/nn minus/nn idn/nn untuk/in obligasi/nn subordinasi/nn mudarabah/nn yang/sc akan/md diterbitkan/vbt oleh/in muamalat/nn	datif	untuk	NA
kami/prp tak/neg ingin/vbt	memberikan	sedikitpun/nn kesempatan/nnu kepada/in mereka/prp ,/, katanya/nng ./.	datif	kepada	NA
bursa/nn efek/nn surabaya/nn bes/nn	memberikan	sanksi/nnc peringatan/nnu tertulis/jj kedua/cdp kepada/in empat/cdp emiten/nn obligasi/nn atas/in keterlambatan/nn penyampaian/nn laporan/nnc keuanga	datif	kepada	NA
g/vbi peraturan/nn irs/nn yang/sc mungkin/rb menempatkan/nn perusahaan/nnc sebagai/sc pelanggar/nn undang/nn -/- undang/nn pajak/nn jika/sc mereka/prp	memberikan	pinjaman/nn kepada/in pensiunan/nn pemegang/nnc sahan/nn dan/cc direktur/nnp tetapi/cc tidak/neg memberikannya/nn kepada/in pekerja/nnc lain/jj yang/	datif	kepada	NA
mite/nn aviasi/nn di/in parlemen/nn ,/, yang/sc berargumentasi/nn bahwa/sc kondisi/nnu tadi/rb tidak/neg perlu/md sebab/cc ruu/nn tersebut/dt sudah/md	memberikan	departemen/nnc kekuasaan/nnu yang/sc besar/jj untuk/in memblok/nn transaksi-transaksi/nn yang/sc tidak/neg diinginkan/vbt ./.	objek ganda	NA	REC_TH
enterian/nn luar/jj negeri/nnc jepang/nn ,/, kesepakatan/nn itu/dt untuk/in mempercepat/vbt liberalisasi/nn perdagangan/nn dan/cc investasi/nn yang/sc	memberikan	perluasan/nn bagi/in aktivitas/nnu eknomi/nn kedua/cdp negara/nnc ./.	datif	bagi	NA
ini/dt	memberikan	bukti/nnu bagi/in pernyataan/nnu bahwa/sc kehidupan/nn tidak/neg muncul/vbt melalui/vbt proses/vbi acak/nn alamiah/nn ,/, tetapi/cc melalui/vbt suatu	datif	bagi	NA
n/in terkontrolnya/nn tingkat/nnc kesuburan/nn tanah/nnc diharapkan/vbi agar/in lahan/nnc yang/sc nantinya/jj digarap/nn akan/md terus/rb produktif/nn	memberikan	nutrisi/nn bagi/in tanaman/nn ./.	datif	bagi	NA
fda/nn diharapkan/vbi untuk/in menyetujui/vbt sebuah/nnc program/nnp yang/sc	memberikan	akses/nn gratis/nn obat/nn azt/nn untuk/in anak-anak/nnc dengan/in aids/nn hari/nnc ini/dt ./.	datif	untuk	NA
namun/nn ,/, katanya/nng ,/, kredit/nn modal/nnp kerja/nnu masih/rb	memberikan	porsi/nn terbesar/jj terhadap/in total/nnu kredit/nn ,/, yakni/nn sebesar/rb 57,56/nn persen/jj ,/, kredit/nn konsumsi/nn 34,47/nn persen/jj ,/, dan/	datif	terhadap	NA
n/nn orang/nn ke/in luar/nn angkasa/nn iran/nn sudah/md lama/jj memiliki/vbt keinginan/nn mengembangkan/vbt program/nnp luar/jj angkasa/nn ,/, yang/sc	memberikan	rasa/nnc khawatir/nn kepada/in pemimpin/nnc dunia/nnp yang/sc mencemaskan/nn program/nnp nuklir/nn dan/cc rudal/nn balistik/nn teheran/nn ./.	datif	kepada	NA
hal/nn berikutnya/vbt yang/sc di/in klon/nn ,/, insulin/nn manusia/nnc ,/, yang/sc memiliki/vbt potensi/nnu pasar/nnc dan/cc genetech/nn	memberikan	lisensi/nn produk/nnc itu/dt pada/in eli/nn lilly/nn ,/, yang/sc memproduksi/nn 80/cdp %/sym insulin/nn yang/sc digunakan/vbt oleh/in 1.5/nn juta/cdp	datif	pada	NA
/nn pada/in hampir/rb semua/cdi rute/nn penerbangan/nnu domestik/nn memenangkan/vbt persetujuan/nn dari/in dewan/nn ,/, yang/sc secara/in terpisah/vbi	memberikan	presiden/nn bush/nn undang-undang/nn tahun/nnc fiscal/fw hampir/rb sebesar/rb $/nn 67/nn miliar/nn termasuk/vbt dana/nnc konstruksi/nn pertama/cdo un	objek ganda	NA	REC_TH
bermain/nn dalam/in olah/nn raga/nn antar/nn kampus/nn tidak/neg	memberikan	kamu/nn banyak/jj waktu/nnc dengan/in orang/nnc lain/jj ./.	objek ganda	NA	REC_TH
tidak/neg berubahnya/nn bi/nn rate/nn masih/rb mampu/vbt	memberikan	stimulus/nn bagi/in pertumbuhan/nnu ekonomi/nnu indonesia/nn ke/in depan/rb sejalan/nn dengan/in tersedianya/nn ruang/nnc gerak/nn bagi/in bank/nn un	datif	bagi	NA
project/nn information/nn :/: state-owned/nn enterprise/nn governance/nn and/nn privatization/nn program/nn tanggal/nnc 4/cdp desember/nn 2001/cdp ,/,	memberikan	pinjaman/nn us$/nn 400/cdp juta/cdp untuk/in program/nnp privatisasi/nn bumn/nn di/in indonesia/nn ./.	datif	untuk	NA
hal/nn tersebut/dt	memberikan	banyak/jj peluang/nnu bagi/in hakim/nn kepailitan/nn a.s./nn burton/nn r./nn lifland/nn untuk/in memutuskan/vbi apa/wrb ,/, bila/sc ada/vbi ,/, yang/	datif	bagi	NA
pan/nn pada/in 23/cdp september/nn catatan/nn iklan/nn .../nn transaksi/nn baru/rb :/: northrup/nn king/nn co./nn ,/, golden/nn valley/nn minn./nn ,/,	memberikan	bibit/nn tanaman/nn agrikultur/nn senilai/vbi $/nn 4/cdp juta/nn kepada/in creswell/nn ,/, munsell/nn ,/, fultzl/nn &/nn zirbel/nn ,/, cedar/nn rapid	datif	kepada	NA
ia/nn menyebutkan/vbt ,/, selama/sc ini/dt sektor/nnc manufaktur/nn	memberikan	kontribusi/cdp cukup/jj besar/jj kepada/in pertumbuhan/nnu investasi/nn di/in tanah/nnc air/nnu ,/, namun/cc dalam/in 2/cdp tahun/nnc terakhir/jj 200	datif	kepada	NA
selama/nn pendampingan/nn tersebut/dt ,/, selain/sc melakukan/vbt penelitian/nn ,/, para/dt mahasiswa/nn juga/rb	memberikan	guidance/nn dan/cc counseling/nn kepada/in usaha/nnu kecil/jj dan/cc membimbingnya/nn ./.	datif	kepada	NA
sc diterima/vbt antara/nn ,/, jumat/nn ,/, mengatakan/vbi ,/, neraca/nn transaksi/nn berjalan/vbi maupun/cc transaksi/nn modal/nnp dan/cc finansial/jj	memberikan	kontribusi/cdp yang/sc positif/nn terhadap/in surplus/nn npi/nn ./.	datif	terhadap	NA
enuhnya/rb melengkapi/nn dan/cc melatih/vbt tentara/nn kita/prp ,/, membawa/vbt mereka/prp pulang/vbi dengan/in selamat/nn dan/cc cepat/nnp ,/, dan/cc	memberikan	veteran/nn kita/prp perawatan/nn berkualitas/vbi yang/sc layak/nn mereka/prp terima/nn ,/, katanya/nng ./.	objek ganda	NA	REC_TH
aran/nn kampanye/nnu dia/prp kepada/in seorang/nnc aktivis/nnc kulit/nnc hitam/jj yang/sc merupakan/vbt penculik/nn narapidana/nn ,/, dan/cc karena/cc	memberikan	penjualan/nnu saham/nnc kepada/in anaknya/nn ./.	datif	kepada	NA
jepang/nn sebelumnya/sc mengatakan/vbi ,/, bahwa/sc pihaknya/nn tidak/neg akan/md	memberikan	bantuan/nnu ekonomi/nnu dalam/in jumlah/nnu sepenuhnya/rb kepada/in korea/nn utara/nn atau/cc membuka/vbt hubungan/nn diplomatik/nn dengan/in negara/	datif	kepada	NA
ide/nn dasarnya/nn adalah/vbt	memberikan	pengobatan/nn kepada/in pasien/nnc untuk/in mengontrol/nn perkembangan/nn protein/nn yang/sc berasal/vbi dari/in versi/nnc normal/nn gen/nn yang/sc r	datif	kepada	NA
fitch/nn juga/rb	memberikan	peringkat/nnc ekspektasi/nn `/nn aa-idn/nn '/nn aa/nn minus\/idn/nn untuk/in obligasi/nn senilai/vbi rp1/nn ,5/cdp trilliun/nn obligasi/nn ii\/2007/n	datif	untuk	NA
mengatakan/vbi pembayaran/nn utang-banknya/nn telah/md diperpanjang/nn sampai/vbt 31/cdp mei/nn ,/, 1990/cdp ,/, untuk/in	memberikan	lebih/rb banyak/jj waktu/nnc kepadanya/rb untuk/in mencual/nn ritel/nn wilson/nn foods/nn corp./nn dan/cc operasi/nn daging/nn segar/nn miliknya/nn .	datif	kepada	NA
kantor/nn berita/nnc lusa/nn yang/sc melansir/nn komentar/nn penyidik/nn publik/nnc portugal/nn ,/, mengatakan/vbi pinto/nn da/nn costa/nn dituduh/vbt	memberikan	amplop/nn berisi/vbt 2.500/nn euro/nn kepada/in duarte/nn sebelum/sc berlangsung/vbi pertandingan/nnc ./.	datif	kepada	NA
menurut/nn dia/prp ,/, harga/nnc minyak/nnu mentah/nn dunia/nnp yang/sc turun/nn akan/md	memberikan	dampak/nnu positif/nn bagi/in apbn/nn di/in mana/wrb belanja/vbi subsidi/nn bbm/nn akan/md mengalami/vbt penurunan/nnu ./.	datif	bagi	NA
itu/nn adalah/vbt pendekatan/nn yang/sc valid/nn ,/, tetapi/cc	memberikan	beban/nn yang/sc berat/nnc kepada/in sutradara/nn untuk/in menampilkan/vbt sebuah/nnc tingkat/nnc yang/sc tidak/neg biasa/jj dari/in imajinasi/nn dan	datif	kepada	NA
kecenderungan/nn kenaikan/nn suku/nnc bunga/nnc perbankan/nn juga/rb	memberikan	nilai/nnc tambah/jj bagi/in pergerakan/nn rupiah/nn yang/sc terus/rb menguat/nn dan/cc diperkirakan/vbt akan/md bisa/md mendekati/nn angka/nnc rp9/nn	datif	bagi	NA
dan/cc bahkan/rb kemarahan/nn atas/in rencana/nnu kepergian/nn korporasi/nn terbesar/jj ketiga/cdo dalam/in skala/nn nasional/jj tersebut/dt tanpa/rb	memberikan	mereka/prp kesempatan/nnu untuk/in berkompromi/nn ./. ''/fw	objek ganda	NA	REC_TH
sementara/nn program/nnp anti-misil/nn sdi/nn	memberikan	w\/j/nn schafer/nn dua/cdp kontral/nn dengan/in nilai/nnc total/nnu $/nn 13.4/nn juta/cdp ,/, pimpinan/nn dan/cc pendiri/nn erc/nn ,/, jack/nn aalset	objek ganda	NA	REC_TH
dp juta/cdp dari/in yang/sc direncanakan/vbi sebesar/rb $/nn 350/cdp juta/cdp setelah/sc ada/vbi kejelasan/nn bahwa/sc perusahaan/nnc akan/md harus/md	memberikan	investor/nnc pendapatan/nn yang/sc lebih/rb besar/jj ./.	objek ganda	NA	REC_TH
am/nn sebuah/nnc insiden/nn tahun/nnc 1961/nn ,/, sebuah/nnc pesawat/nnc surat/nnc soviet/nn hilang/vbi dari/in layar/nnc radar/nn tepat/rb setelah/sc	memberikan	pesan/nn radio/nn mengenai/vbt posisinya/nng kepada/in menara/nn kontrol/nn darat/jj di/in sverdlovsk/nn ./.	datif	kepada	NA
pada/in kasus-kasus/nns tersebut/dt ,/, pengadilan/nnc tingga/nn memutuskan/vbi bahwa/sc hukum/nnu federal/nn akan/md	memberikan	kekuasaan/nnu luas/jj bagi/in penuntut/nnc untuk/in mengambil/nn aset/nnc dari/in para/dt terdakwa/nn tindak/nnp kejahatan/nnu obat-obatan/nn telaran	datif	bagi	NA
ayah/nn yang/sc berusia/vbt 46/nn tahun/nnc itu/dt	memberikan	hukuman/nnc pertamanya/nng kepada/in anak/nnc lelakinya/nn yang/sc berusia/vbt 10/cdp tahun/nnc ,/, ketika/sc anaknya/nn itu/dt gagal/jj melakukan/vb	datif	kepada	NA
berkaitan/nn dengan/in hal-hal/nnc tersebut/dt ,/, keuangan/nn mikro/nn pada/in gilirannya/nn juga/rb dapat/md	memberikan	kontribusi/cdp positif/nn terhadap/in alokasi/nn sumberdaya/nn ,/, promosi/vbi pemasaran/nn ,/, dan/cc adopsi/nn teknologi/nn yang/sc lebih/rb baik/j	datif	terhadap	NA
de/nn einder/nn didirikan/nn pada/in 1995/cdp untuk/in	memberikan	bantuan/nnu profesional/nn kepada/in orang-orang/nnc yang/sc ingin/vbt bunuh/nn diri/nnc baik/jj dengan/in membujuk/nn mereka/prp agar/in tidak/neg m	datif	kepada	NA
hal/nn ini/dt akan/md	memberikan	kebebasan/nn bagi/in inggris/nn untuk/in mengadopsi/nn piagam/nn setelah/sc menolak/vbt program/nnp aksi/nn ./.	datif	bagi	NA
pemeringkat/nn efek/nn indonesia/nn pefindo/nn	memberikan	rating/nn aa/nn -/- aa/nn minus/nn untuk/in pt/nn excelcomindo/nn pratama/nn tbk/nn dan/cc rencana/nnu obligasi/nn 2007/nn sebesar/rb rp2/nn triliun/	datif	untuk	NA
n/nn tiga/cdp undang-undang/nn yang/sc mendukung/vbt penyempurnaan/nn penerapan/nnu ketentuan/nn penerimaan/nn pajak/nn dan/cc pnbp/nn ,/, presiden/nn	memberikan	apresiasi/nn kepada/in dpr/nn ./.	datif	kepada	NA
pemerintah/nn jepang/nn sepakat/nn untuk/in	memberikan	pinjaman/nn kepada/in indonesia/nn sebesar/rb 23,18/nn miliar/nn yen/nn untuk/in program/nnp penanggulangan/nn bencana/nnu alam/nnc yang/sc menimbulk	datif	kepada	NA
keunggulan/nn serta/cc kerumitan/nn yang/sc ada/vbi di/in alam/nnc ,/, terutama/jj pada/in sistem/nnu biologis/nn ,/,	memberikan	inspirasi/nn kepada/in manusia/nnc untuk/in secara/in berkelanjutan/nn mengembangkan/vbt dan/cc sekaligus/sc meningkatkan/vbt kemampuan/nn ilmu/nn pe	datif	kepada	NA
sementara/nn itu/dt ,/, piter/nn edward/nn ,/, dari/in programme/nn manager/nn governance/nn ausaid/nn mengatakan/vbi ,/, dalam/in	memberikan	bantuan/nnu kepada/in indonesia/nn ,/, pihaknya/nn menggunakan/vbt tiga/cdp pilar/nn kunci/nn ,/, yakni/nn membangun/vbt hubungan/nn indonesia/nn unt	datif	kepada	NA
rumah/nn terkutuk/nn yang/sc terbentuk/nn cenderung/nn untuk/in	memberikan	penghargaan/nn kepada/in kempengikutan/nn ,/, bukan/neg kepada/in kepemimpinan/nn ,/, ia/prp menciptakan/vbt rasa/nnc bersalah/nn karena/cc mengenaka	datif	kepada	NA
ung/jj bisa/md menjawab/vbt ketika/sc ditanya/nn tentang/in wajah/nnc ekonomi/nnu yang/sc berlangsung/vbi saat/sc ini/dt walaupun/cc tidak/neg bisa/md	memberikan	istilah/nn yang/sc tepat/rb untuknya/nn ./.	datif	untuk	NA
beberapa/nn isu/nn masih/rb perlu/md diselesaikan/vbt sebelum/sc regulator/nn kanada/nn dapat/md	memberikan	proyek/nnp tersebut/dt lampu/nn hijau/nn yang/sc final/nn ./.	objek ganda	NA	REC_TH
pemerintah/nn di/in teheran/nn ,/, yang/sc dituduh/vbt washington/nn memasok/nn senjata/nnc dan/cc	memberikan	pelatihan/nn kepada/in kelompok-kelompok/nn bersenjata/nn syiah/nn seperti/sc tentara/nn mahdi/nn ,/, membantah/vbt bahwa/sc sadr/nn berada/vbi di/in	datif	kepada	NA
bukan/nn saja/rb mr./nn boyd/nn	memberikan	kepada/in teater/nn sebuah/nnc rasa/nnc baru/rb atas/in petualangan/nn dan/cc kehebohan/nn di/in atas/in panggung/nn ,/, neraca/nn keuangan/nn adalah	datif	kepada	REC_TH
md menolak/vbt penawaran/nn dari/in stateswest/nn dan/cc awal/jj minggu/nnc ini/dt mangatakan/nn bahwa/sc pimpinan/nn perusahaan/nnc tidak/neg akan/md	memberikan	pertimbangan/nn lebih/rb terhadap/in proposal/nn tersebut/dt ,/, menyebutkannya/nn ``/nn samar/nn dan/cc tidak/neg jelas/vbt ''/nn karena/cc tidak/ne	datif	terhadap	NA
pencapaian/nn ini/dt menunjukkan/vbt bahwa/sc pelanggan/nn	memberikan	appresiasi/nn yang/sc positif/nn untuk/in layanan/nn excl/nn ,/, yaitu/sc memadukan/nn antara/nnp kualitas/nnu layanan/nn dengan/in tarif/nn yang/sc	datif	untuk	NA
secara/nn terpisah/vbi ,/, lone/nn star/nn technologies/nn menyatakan/vbi bahwa/sc pengadilan/nnc kepailitan/nn	memberikan	lone/nn star/nn steel/nn perpanjangan/nn waktu/nnc samapi/rb akhir/jj tahun/nnc pada/in periode/nnc ekslusifnya/nn untuk/in menghasilkan/vbi sebuah/n	objek ganda	NA	REC_TH
pada/in bulan/nnc juni/nn --/-- sebuah/nnc kudeta/nn yang/sc	memberikan	ia/prp uang/nnc tunai/vbi yang/sc cukup/jj untuk/in melakukan/vbt gerakan/nnc terhadap/in usx/nn ./.	objek ganda	NA	REC_TH
ifc/nn adalah/vbt kepanjangan/nn tangan/nn bank/nn dunia/nn dalam/in	memberikan	pembiayaan/nn kepada/in perusahaan-perusahaan/nn di/in dunia/nnp ./.	datif	kepada	NA
pemerintah/nn jepang/nn telah/md	memberikan	bantuan/nnu berupa/sc pinjaman/nn kepada/in indonesia/nn senilai/vbi 99,811/nn miliar/nn yen/nn sekitar/cdi rp7/nn ,718/nn triliun/cdp untuk/in pembi	datif	kepada	NA
komentar/nn oleh/in ketua/nn dewan/nn bank/nn sentral/nn alan/nn greenspan/nn	memberikan	beberapa/cdi dukungan/nnu pada/in dollar/nn ,/, tapi/cc amerika/nn serikat/nn ./.	datif	pada	NA
kidder/nn	memberikan	perubahan/nnu respon/nn yang/sc mengejutkan/vbt terhadap/in program/nnp perdagangan/nn kemarin/nn ,/, setelah/sc mengadakan/vbt pertemuan/nnu khusus/	datif	terhadap	NA
udah/md banyak/jj bank/nn yang/sc memberikan/vbt kredit/nn ke/in industri/nnu gula/nn ,/, apalagi/nn npl/nn kredit/nn bermasalah/vbi yang/sc rendah/jj	memberikan	prospek/nn yang/sc baik/jj pada/in industri/nnu yang/sc berbasis/vbi tebu/nn yang/sc tidak/neg hanya/rb penghasil/nnc gula/nn saja/rb ,/, tetapi/cc j	datif	pada	NA
dengan/in cara/nnc itu/dt ,/, pilot/nnc mungkin/rb dapat/md memaksa/vbt dewan/nnc untuk/in menyetuji/nn rekapitalisasi/nn yang/sc	memberikan	pegawai/nnc saham/nnc mayoritas/jj ,/, atau/cc untuk/in mempertimbangkan/vbt proposal/nn terbaru/nn grup/nnc manajemen/nn buruh/nn ./.	objek ganda	NA	REC_TH
mr./nn morishita/nn adalah/vbt seorang/nnc tokoh/nnc terkemuka/nn diantara/nn 38,000/nn ``/nn machikin/nn ,/, ''/nn jepang/nn yang/sc	memberikan	pinjaman/nn kepada/in perusahaan/nnc kecil/jj ,/, dan/cc ``/nn sarakin/nn ,/, ''/nn yang/sc memberikan/vbt pinjaman/nn kepada/in perseorangan/nn ./.	datif	kepada	NA
yaman/nn	memberikan	suaka/nn politik/jj kepada/in ketua/nnc persatuan/nn pengadilan/nn islam/nn somalia/nn syeikh/nn syarif/nn syeikh/nn ahmed/nn ,/, yang/sc diperkiraka	datif	kepada	NA
erpisah/vbi ,/, memisahkan/vbt beliau/nn dari/in sebuah/nnc dokumen/nn persemakmuran/nn yang/sc memasukkan/vbt kembali/rb nilai/nnc politik/jj yang/sc	memberikan	sanksi/nnc kepada/in afrika/nn selatan/nn ./.	datif	kepada	NA
emarin/nn ,/, quebecor/nn setuju/nn untuk/in membayar/vbt $/nn 400/cdp juta/cdp dalam/in tunai/vbi untuk/in maxwell/nn graphics/nn ,/, dan/cc untuk/in	memberikan	maxwell/nn communication/nn bagian/nnc sebesar/rb 20/cdp %/sym ,/, yang/sc dihargai/nn sebesar/rb $/nn 100/cdp million/nn ,/, dalam/in cabang/nn perc	objek ganda	NA	REC_TH
/dt ilmuwan/nn tersebut/dt yakin/nn ,/, dengan/in adanya/nng sensor/nn braingate/nn dan/cc menanamkan/nn elektroda/nn di/in dalam/in otak/nnc dapat/md	memberikan	harapan/nnu baru/rb bagi/in mereka/prp yang/sc disabled/nn ,/, baik/jj yang/sc bawaan/nn lahir/nn maupun/cc karena/cc kecelakaan/nn ./.	datif	bagi	NA
memberikan/nn pengakuan/nnu dan/cc legalitas/nn atas/in keberadaan/nn keuangan/nn mikro/nn dan/cc lembaga/nnp keuangan/nn mikro/nn	memberikan	perlindungan/nn kepada/in masyarakat/nnc yang/sc terlibat/vbi dalam/in kegiatan/nnu keuangan/nn mikro/nn memprioritaskan/nn strategi/nn pengembangan/	datif	kepada	NA
/cdi menit/nn sebelum/sc digantikan/vbi bentley/nn ,/, sehingga/sc penonton/nnc yang/sc mendukung/vbt tim/nnp inggris/nn dan/cc prancis/nn berdiri/vbi	memberikan	sorakan/nn kepadanya/nn ./.	datif	kepada	NA
bentuk/nn telah/md	memberikan	inspirasi/nn pada/in sir/nn george/nn cayley/nn ,/, salah/jj satu/cdp pakar/nn penerbangan/nnu yang/sc pertama/cdo ./.	datif	pada	NA
rully/nn mengatakan/vbi ,/, maraknya/nn pemberantasan/nn korupsi/nnu	memberikan	sentimen/nn positif/nn terhadap/in pasar/nnc yang/sc mendorong/vbt pelaku/nnc berspekulasi/nn membeli/vbt rupiah/nn dan/cc melepas/vbt dolar/nn as/nn	datif	terhadap	NA
rahmat/nn menyebutkan/vbt ,/, untuk/in penerbitan/nn sukuk/nn negara/nnc itu/dt ,/, pihak/nnc dpr/nn telah/md	memberikan	ijin/nn kepada/in pemerintah/nnc untuk/in menggunakan/vbt aset/nnc negara/nnc di/in depkeu/nn senilai/vbi rp18/nn ,3/nn triliun/cdp sebagai/sc underl	datif	kepada	NA
pemerintah/nn daerah/nnc bekerja/vbi sama/in dengan/in lembaga/nnp perbankan/nn \//nn keuangan/nn mikro/nn terkemuka/nn	memberikan	fasilitas/nnc bantuan/nnu pelatihan/nn kepada/in para/dt pengurus/nn lkm/nn serta/cc memberikan/vbt bantuan/nnu modal/nnp kerja/nnu berupa/sc pinjama	datif	kepada	NA
perdana/nn menteri/nn shinzo/nn abe/nn	memberikan	sedikit/jj perhatian/nnc terhadap/in satu/cdp usulan/nn bahwa/sc satu/cdp forum/nn pemerintah/nnc yang/sc dibentuk/nn pada/in tahun/nnc 2005/cdp ,/,	datif	terhadap	NA
kami/prp juga/rb ingin/vbt memproyeksikan/nn pakistan/nn sebagai/sc sebuah/nnc negara/nnc yang/sc	memberikan	kontribusi/cdp bagi/in perdamaian/nn dan/cc stabilitas/nn di/in kawasan/nn tersebut/dt ,/, katanya/nng ./.	datif	bagi	NA
akibat/nn kenaikan/nn harga/nnc bbm/nn pada/in mei/nn 2008/nn ,/, pemerintah/nnc juga/rb	memberikan	beasiswa/nn kepada/in mahasiswa/nn dari/in keluarga/nnc ekonomi/nnu lemah/jj dengan/in anggaran/nn sebesar/rb rp200/nn miliar/nn ./.	datif	kepada	NA
jepang/nn ,/,	memberikan	kepada/in konsulat/nn jenderal/nn a.s./nn di/in osaka/nn dengan/in cek/nn senilai/vbi $/nn 1/cdp juta/cdp untuk/in menolong/vbt korban/nnc gempa/nnu	datif	kepada	REC_TH
teri/nn -/- menteri/nnp perminyakan/nn sekarang/sc berharap/vbt untuk/in menyelesaikan/vbt masalah/vbi ini/dt melalui/vbt proposal/nn iran/nn untuk/in	memberikan	kuota/nn produksi/nnu lebih/rb besar/jj kepada/in negara/nnc -/- negara/nnc yang/sc mempunyai/nn surplus/nn kapasitas/nn dan/cc mengurangi/vbt kuota/	datif	kepada	NA
ia/nn berharap/vbt forum/nn ini/dt acara/nnu sosialisasi/nn dapat/md	memberikan	akses/nn informasi/nnu kepada/in perbankan/nn khususnya/nng mengenai/vbt bidang-bidang/nn usaha/nnu yang/sc memiliki/vbt prospek/nn yang/sc baik/jj d	datif	kepada	NA
peningkatan/nn defisit/nn terkait/jj dengan/in arah/nnu kebijakan/nnu fiskal/nn pemerintah/nnc untuk/in	memberikan	stimulus/nn fiskal/nn bagi/in perekonomian/nn ,/, kata/vbt presiden/nn susilo/nn bambang/nn yudhoyono/nn ketika/sc menyampaikan/nn pidato/nn kenegara	datif	bagi	NA
pertarungan/nn itu/dt merupakan/vbt ajang/nn uji/nn kemampuan/nn antar/nn siswa/nn di/in asia/nn sehingga/sc kita/prp harus/md	memberikan	doa/nn dan/cc dukungan/nnu kepada/in siswa/nn dari/in samarinda/nn itu/dt ./.	datif	kepada	NA
