LEFT	NODE	RIGHT
in washington/nn ,/, menang/nn dalam/in pemilihan/nnu anggota/nnc badan/nn legislatif/nn sehingga/sc	memberi/vbt	organisasi/nn perlawanan/nn islam/nn tersebut/dt wewenang/nn atas/in pemerintah/nnc dan/cc menolak/
ketika/nn ditanya/nn bagaimana/wrb microsoft/nn akan/md	memberi/vbt	sumbangan/nn ,/, gates/nn berkata/vbi ,/, sebagian/nn pusat/nnp masyarakat/nnc ini/dt akan/md didir
sikan/nn kepada/in setiap/dt pengelola/nnp dananya/nn bahwa/sc mereka/prp akan/md dilepas/nn bila/sc	memberi/vbt	bisnis/nn ke/in firma-firma/nn perdagangan/nn program/nnp ./.
mutasi/nn tidak/neg dapat/md	memberi/vbt	makhluk/nn hidup/nnc organ/nn atau/cc sifat/nn baru/rb ./.
ya/nn untuk/in menulis/vbt sebuah/nnc surat/nnc yang/sc isinya/nn adalah/vbt bahwa/sc ia/prp akan/md	memberi/vbt	dukungan/nnu sebuah/nnc amandemen/nn konstiitusi/nn yang/sc melarang/vbt aborsi/nn kecuali/nn dalam
rena/cc wigan/nn tengah/nnp berjuang/vbi melawan/nn degradasi/nn ,/, tapi/cc pertandingan/nnc ini/dt	memberi/vbt	mereka/prp semacam/rb hiburan/nnu dari/in kesulitan/vbi dalam/in liga/nn ./.
u pemikiran/nn ''/nn dengan/in gedung/nn putih/nn ,/, dan/cc bahwa/sc komite/nn tersebut/dt telah/md	memberi/vbt	mr./nn bush/nn ``/nn awal/jj yang/sc bersih/vbi ''/nn ,/, bebas/jj dari/in rintangan-rintangan/nn y
saya/prp nyaris/nn tidak/neg	memberi/vbt	peluang/nnu memukul/nn kepada/in arron/nn satu/cdp lubang/nn pun/rp ./.
menceritakan/nn seluruh/cdi kisah/nn mengenai/vbt krisis/nn rumit/nn itu/dt ,/, tapi/cc semuanya/nng	memberi/vbt	gambaran/nn suram/nn ./.
in hak/nnu konsultasi/nn ,/, telah/md diundang/vbt ke/in penayangan/nn film/nnc tersebut/dt untuk/in	memberi/vbt	masukan/nn atas/in film/nnc tersebut/dt ./.
kadang-kadang/nn bahan/nnc ini/dt	memberi/vbt	peringatan/nnu melalui/vbt warna/nn terangnya/nn ./.
anheuser-busch/nn berencana/vbi untuk/in	memberi/vbt	potongan/nn secara/in besar/jj merk/nn bir/nn utamanya/nn ,/, sehingga/sc menciptakan/vbt tempat/nn
inggris/nn ,/, jumat/nn ,/, meminta/vbt para/dt pejabat/nnc pbb/nn untuk/in	memberi/vbt	penjelasan/nn kepada/in dewan/nn keamanan/nn -lrb-/nn dk/nn -rrb-/nn mengenai/vbt penindasan/nn pol
tentu/nn si/rp induk/nnc akan/md kesulitan/vbi menemukan/vbt dan/cc	memberi/vbt	makan/nnu anaknya/nn akibat/nnu cuaca/nn yang/sc ganas/nn dan/cc jauhnya/nn jarak/nn mereka/prp den
panitia/nn penyelenggara/nn hanya/rb	memberi/vbt	lampu/nn hijau/nn minggu/nnc lalu/jj untuk/in melewati/nn kawasan/nn afrika/nn itu/dt kendati/nn ma
nyelesaikan/vbt masalahnya/nn sebelum/sc kamis/nn ,/, ketika/sc seorang/nnc hakim/nnp diharapkan/vbi	memberi/vbt	putusan/nn mengenai/vbt permintaan/nn warner/nn untuk/in sebuah/nnc perintah/nnu yang/sc akan/md me
i/vbt menteri/nnp ,/, semua/cdi yang/sc terlibat/vbi dalam/in kehidupan/nn anak/nnc muda/jj perlu/md	memberi/vbt	pesan/nn jelas/vbt bahwa/sc gangguan/nnu ,/, untuk/in alasan/nn apa/wrb pun/rp ,/, adalah/vbt salah
inti/nn dari/in kompetisi/nn ini/dt adalah/vbt bagaimana/wrb teknologi/nn bisa/md	memberi/vbt	solusi/nn atas/in masalah/vbi yang/sc dihadapi/nn masyarakat/nnc di/in negara-negara/nnc yang/sc se
gol/nn tersebut/dt	memberi/vbt	tim/nnp asuhan/nn michael/nn laudrup/nn kesempatan/nnu untuk/in tetap/jj hidup/nnc dan/cc mereka/pr
uksi/nn di/in west/nn virginia/nn ,/, pak/nn bush/nn meminta/vbt $/nn 4.5/nn juta/cdp ;/, kongres/nn	memberi/vbt	negara/nnc bagian/nnc senator/nn byrd/nn 's/nn state/nn $/nn 21.5/nn juta/cdp \*/nn u/nn \*/nn ./.
n yang/sc mendamaikan/nn kelihatannya/nn ditujukan/vbi untuk/in menyiapkan/vbt negosiasi/nn untuk/in	memberi/vbt	hak/nnu politik/jj bagi/in warga/nnc kulit/nnc hitam/jj ./.
gol/nn hat-trick/nn dari/in samuel/nn eto'o/nn membantu/vbt barcelona/nn	memberi/vbt	tekanan/nnu pada/in pemimpin/nnc klasemen/nn real/nn madrid/nn saat/sc mereka/prp menang/nn kandang
diharapkan/nn saat/sc sel/nn membentuk/vbt matriks/nn pengikat/nn ,/, penyangga/nn dapat/md	memberi/vbt	dukungan/nnu sruktural/nn dan/cc setelah/sc jaringan/nnc terbentuk/nn barulah/nn terurai/nn ./.
lamina/nn inti/nn adalah/vbt suatu/dt struktur/nn dalam/in nukleus/nn yang/sc	memberi/vbt	dukungan/nnu mekanis/nn seperti/sc sitoskeleton/nn yang/sc menyokong/vbt sel/nn secara/in keseluruh
gkap/nn sejumlah/cdi tersangka/nn dalam/in pembunuhan/nn empat/cdp warganegara/nn perancis/nn dan/cc	memberi/vbt	waktu/nnc 24/cdp jam/nnc kepada/in dua/cdp warga/nnc saudi/nn untuk/in menyerahkan/vbt diri/nnc ./.
c yang/sc dicetak/nn pada/in kertas/nnc mengkilap/nn itu/dt diluncurkan/nn bulan/nnc ini/dt untuk/in	memberi/vbt	400.000/nn remaja/nn muslimah/nn amerika/nn perspektif/nn hidup/nnc dan/cc sangat/rb relevan/nn den
enalkan/vbt diego/nn klimowicz/nn dan/cc florian/nn kringe/nn pada/in menit/nn ke-69/nn terbukti/vbi	memberi/vbt	inspirasi/nn ./.
iran/nn ,/, jumat/nn ,/, menyebut/vbt taklimat/jj oleh/in tiga/cdp pelaut/nn inggris/nn yang/sc	memberi/vbt	gambaran/nn suram/nn mengenai/vbt 13/cdp hari/nnc penahanan/nn mereka/prp sebagai/sc tayangan/nn te
/nn bury/nn pada/in menit/nn ke-61/nn dan/cc ,/, meskipun/cc pemain/nnc veteran/nn dion/nn dublin/nn	memberi/vbt	harapan/nnu bagi/in norwich/nn pada/in menit/nn ke-86/nn ,/, tim/nnp tuan/nnc rumah/nnc bertahan/vb
b memeriksa/vbt proposal/nn tersebut/dt :/: perusahaan/nnc induk/nnc meminta/vbt mereka/prp untuk/in	memberi/vbt	tanggapan/nn pada/in bulan/nnc oktober/nn ./.
ia/nn	memberi/vbt	petunjuk/nn di/in akhir/jj pekan/nn bahwa/sc ia/prp akan/md tertarik/vbi untuk/in bergabung/vbi den
n dalam/in tim/nnp saya/prp ,/, keseluruhan/nn sistem/nnu berubah/vbt ,/, kata/vbt basile/nn saat/sc	memberi/vbt	keterangan/nnu pers/nnc ./.
elama/sc 38/cdp tahun/nnc dari/in pemain/nnc pantai/nn gading/nn laurent/nn pokou/nn ,/, menolak/vbt	memberi/vbt	komentar/nn namun/cc banyak/jj yang/sc ingin/vbt pfister/nn sampaikan/nn mengenai/vbt penyelenggara
li/vbt 22/cdp juta/cdp saham/nnc lin/nn seharga/nn $/nn 125/nn per/nnu lembar/nn ,/, yang/sc akan/md	memberi/vbt	mccaw/nn 50.3/jj %/sym hak/nnu pengendalian/nnp ./.
hillary/nn segera/rb	memberi/vbt	tanggapan/nn yang/sc menentang/vbt saat/sc presiden/nn bush/nn mengusulkan/vbi pengiriman/nn 20/cdp
merebut/vbt 10/cdp poin/nn untuk/in unggul/nn 57-47/nn pada/in paruh/nn pertama/cdo dan/cc tidak/neg	memberi/vbt	kesempatan/nnu kepada/in wizards/nn untuk/in memperkecil/nn ketertinggalan/nn ./.
sel-sel/nn inilah/nn yang/sc	memberi/vbt	warna/nn pada/in darah/nn dan/cc tentunya/nn ,/, juga/rb kulit/nnc kita/prp ./.
mbangan/nn cray-3/nn yang/sc sedang/rb dijalankan/vbt oleh/in tim/nnp dia/prp dan/cc yang/sc akan/md	memberi/vbt	cray/nn computer/nn $/nn 98.6/nn juta/cdp ./.
menurunkan/nn tim/nnp eksperimental/nn dalam/in usahanya/nn	memberi/vbt	pengalaman/nnu bagi/in para/dt pemain/nnc muda/jj untuk/in 2010/nn ,/, afrika/nn selatan/nn menyara
n/nnu bagi/in pendukung/nnu di/in kandang/nn sendiri/jj di/in stade/nn saint-symphorien/nn ketika/sc	memberi/vbt	angka/nnc untuk/in metz/nn saat/sc pertandingan/nnc baru/rb berlangsung/vbi tiga/cdp menit/nn tetap
orang/nn yang/sc sangat/rb berhati-hati/nn ,/, ketua/nnc fed/nn ini/dt selamanya/nn	memberi/vbt	lampu/nn kuning/nn berkedip/nn ./.
nn yang/sc rumit/nn seperti/sc membangun/vbt sarang/nn ,/, berburu/nn ,/, menguntit/nn buruan/nn ,/,	memberi/vbt	peringatan/nnu ,/, dan/cc manuver/nn pertahanan/nn ,/, dengan/in menggunakan/vbt sinyal-sinyal/nn k
mereka/prp	memberi/vbt	saya/prp kebaikan/nn ./.
apa/nn yang/sc saya/prp lakukan/vbi tahun/nnc lalu/jj adalah/vbt masa/nnc lalu/jj tetapi/cc	memberi/vbt	saya/prp banyak/jj kegembiraan/nn dan/cc banyak/jj pengalaman/nnu ,/, dan/cc semoga/jj saya/prp bis
kan/vbt sedikit/jj bukti/nnu mengenai/vbt nenek/nn moyang/nn langsung/jj mereka/prp dan/cc tidak/neg	memberi/vbt	bukti/nnu sama/in sekali/nnc bagi/in tahap-tahap/nn awal/jj dalam/in asal/nn usul/nn kemampuan/nn t
enurunkan/vbt beberapa/cdi pemain/nnc besarnya/nng pada/in pertandingan/nnc berikutnya/vbt segera/rb	memberi/vbt	keuntungan/nn ketika/sc marco/nn marchionni/nn menerobos/nn pertahanan/nn untuk/in mencetak/nn gol/
kelompok/nn kerja/nnu pada/in kamis/nn melangsungkan/nn negosiasi/nn tentang/in bagainama/nn	memberi/vbt	bantuan/nnu ,/, reuni/nn keluarga/nnc dan/cc proyek-proyek/nns ekonomi/nnu antar/nn warga/nnc korea
anda/nn harus/md	memberi/vbt	tim/nnp itu/dt kredit/nn ,/, ujar/nn pelatih/nn cleveland/nn mike/nn brown/nn kepada/in bulls/nn ./
an/nnc tersebut/dt mengajukan/nn penyelesaian/nn utang/nn yang/sc lebih/rb menjanjikan/vbt dengan/in	memberi/vbt	mereka/prp persamaan/nn resiko/nn secara/in substansial/nn di/in perusahaan/nnc ./.
namun/nn ia/prp tak/neg	memberi/vbt	perincian/nn lain/jj mengenai/vbt pertemuan/nnu yang/sc diusulkan/vbt tersebut/dt ,/, kecuali/nn me
maka/nn ,/, atas/in nama/nnc kredibilitas/nn google/nn ,/, dia/prp pun/rp	memberi/vbt	banyak/jj fasilitas/nnc gratis/nn ./.
dia/prp juga/rb	memberi/vbt	konsultasi/nn kepada/in ahli/nnc sejarah/nn ,/, menggalang/vbt kerja/nnu sama/in antarlembaga/nn ak
apakah/nn teori/nn tersebut/dt benar/jj atau/cc tidak/neg ,/, saya/prp menghadapi/vbt kesulitan/vbi	memberi/vbt	penilaian/nn logis/nn ./.
dengan/in nama/nnc muslim/nn girl/nn telah/md diluncurkan/nn bulan/nnc ini/dt ,/, sehinga/jj akan/md	memberi/vbt	lebih/rb dari/in 400.000/nn remaja/nn muslimah/nn di/in amerika/nn serikat/nn kesempatan/nnu untuk/
anggota/nnc parlemen/nn oposisi/nn di/in kursi/vbi pemerintahan/nn akhir/jj bulan/nnc lalu/jj dan/cc	memberi/vbt	10/cdp orang/nnc dari/in mereka/prp posisi/nnc di/in kabinet/nn ./.
ham/nnc dan/cc menaikkan/vbt deviden/nn ,/, dan/cc beberapa/cdi terbitan/nn blue-chip/nn lainnya/nng	memberi/vbt	rata-rata/nns industri/nnu prestasi/nn yang/sc lebih/rb baik/jj dari/in indeks/nn secara/in lebeih/
biasanya/nn ,/, hart-scott/nn digunakan/vbt sekarang/sc untuk/in	memberi/vbt	para/dt manager/nn dari/in perusahaan/nnc target/nn berita/nnc awal/jj dari/in sebuah/nnc penawaran
an/nn ini/dt menggunakan/vbt arus/nn listrik/nn ini/dt untuk/in membunuh/nn pemangsanya/nn dengan/in	memberi/vbt	mereka/prp kejutan/cdp listrik/nn ./.
pemerintah/nn slowakia/nn hari/nnc rabu/nn	memberi/vbt	lampu/nn hijau/nn untuk/in memindahkan/vbt kesatuan/nn tentara/nn zeni/nn dari/in kabul/nn ke/in ib
rut/nn yang/sc miskin/nn menanyakan/vbt kepada/in tetangganya/nn yang/sc kaya/jj untuk/in kembali/rb	memberi/vbt	bantuan/nnu pangan/nn ,/, yang/sc ditunda/nn sebagai/sc protes/nn terhadap/in program/nnp nuklir/nn
pada/in kesempatan/nnu itu/dt ,/, amerika/nn serikat/nn menolak/vbt untuk/in	memberi/vbt	komitmen/nn ,/, tapi/cc rice/nn mengatakan/vbi kepada/in wartawan/nnc saat/sc ia/prp terbang/jj ke/
n bertahap/nn merusak/vbt daya/nnu ingat/nn dan/cc kemampuan/nn seseorang/nn untuk/in belajar/nn ,/,	memberi/vbt	alasan/nn ,/, membuat/vbt penilaian/nn ,/, berkomunikasi/nn dan/cc melakukan/vbt kegiatan/nnu haria
ung/nn kuning/nn telur/nn yang/sc sangat/rb kaya/jj akan/md protein/nn ,/, yang/sc cukup/jj untuk/in	memberi/vbt	makan/nnu berudu/nn selama/sc enam/cdp minggu/nnc ./.
marokko/nn ,/, rabu/nn ,/, menyerahkan/vbt rencananya/nng untuk/in	memberi/vbt	otonomi/nn bagi/in wilayah/nnc sengketa/nn sahara/nn barat/nn kepada/in sekretaris/nn jenderal/nn p
c acuan/nn pinjaman/nn setahun/nnc sebesar/rb 27/cdp basis/nn poin/nn mulai/rb selasa/nn ,/, yang/sc	memberi/vbt	indikasi/nnu kuat/jj bahwa/sc negara/nnc itu/dt akan/md memacu/nn pertumbuhan/nnu ./.
/prp menjadi/vbt nomor/nn satu/cdp atau/cc mencapai/vbt hasil/nnu terbaik/jj saya/prp itu/dt yang/sc	memberi/vbt	saya/prp hasil/nnu yang/sc baik/jj ./.
terakhir/nn kali/nnc ,/, himpunan/nn astronomi/nn internasional/nn	memberi/vbt	nama/nnc eris/nn ,/, dari/in nama/nnc dewi/nn perselisihan/nn dalam/in mitologi/nn yunani/nn ,/, un
mereka/prp selalu/rb mengatakan/vbi kuliah/nn yang/sc pertama/cdo ,/, tetapi/cc mereka/prp tidak/neg	memberi/vbt	waktu/nnc atau/cc mengizinkan/nn kami/prp dari/in latihan/nn untuk/in belajar/nn untuk/in ujian/nn
hal/nn itu/dt ,/, lanjut/vbt dia/prp ,/, menyebabkan/nn lembaga/nnp kreditur/nn kemudian/sc	memberi/vbt	kelebihan/nn anggaran/nn ,/, untuk/in eskalasi/nn biaya/nnc tersebut/dt ,/, dari/in nilai/nnc hasil
bergerak/vbi ,/, karena/cc ketika/sc sektor/nnc riil/nn bergerak/vbi dunia/nnp perbankan/nn akan/md	memberi/vbt	kredit/nn kepada/in sektor/nnc riil/nn ,/, dengan/in demikian/dt secara/in otomatis/nn dana/nnc di/
pemain/nn pengganti/nn piotr/nn trochowski/nn	memberi/vbt	mereka/prp harapan/nnu dengan/in menyamakan/vbt kedudukan/nn di/in menit/nn ke-53/nn namun/cc strik
eduardo/nn ,/, yang/sc menggantikan/vbt robin/nn van/nn persie/nn pada/in paruh/nn pertama/cdo ,/,	memberi/vbt	walcott/nn umpan/nn yang/sc cerdik/nn dan/cc saat/sc bek/nn spurs/nn lee/nn young-pyo/nn tampak/vbi
dengan/in indikatorpengungkap/nn lainnya/nng ,/, perkembangan/nn ini/dt	memberi/vbt	kesan/nn bahwa/sc tuan/nn gorbachev/nn ingin/vbt pergi/vbi dari/in pengendalian/nnp pusat/nnp yang/
